Data,y,ds,unique_id
2004-04-02,0.009351797689207242,2004-04-02,Fechamento
2004-04-03,0.009599004921384945,2004-04-03,Fechamento
2004-04-04,0.012871532528131557,2004-04-04,Fechamento
2004-04-05,0.005705849859757084,2004-04-05,Fechamento
2004-04-06,-0.006184176042876022,2004-04-06,Fechamento
2004-04-07,-0.030588751662596447,2004-04-07,Fechamento
2004-04-08,0.006717825410416101,2004-04-08,Fechamento
2004-04-09,-0.006087313108824821,2004-04-09,Fechamento
2004-04-10,-0.006087313108824821,2004-04-10,Fechamento
2004-04-11,-0.010018367431685457,2004-04-11,Fechamento
2004-04-12,-0.004422270480630708,2004-04-12,Fechamento
2004-04-13,-0.013241156744773885,2004-04-13,Fechamento
2004-04-14,-0.016640366564387943,2004-04-14,Fechamento
2004-04-15,-0.02681794496339629,2004-04-15,Fechamento
2004-04-16,0.0024214029233746714,2004-04-16,Fechamento
2004-04-17,-0.01174006716596283,2004-04-17,Fechamento
2004-04-18,-0.013569516337295862,2004-04-18,Fechamento
2004-04-19,-0.004583261716021969,2004-04-19,Fechamento
2004-04-20,-0.019729562385985222,2004-04-20,Fechamento
2004-04-21,-0.007297140392877506,2004-04-21,Fechamento
2004-04-22,0.009866139103560823,2004-04-22,Fechamento
