Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,ds,y
2019-11-07,109.581,108.36,109.672,108.36,6080000,1.13,2019-11-07,109.581
2019-11-08,107.629,109.572,109.572,107.127,5420000,-1.78,2019-11-08,107.629
2019-11-11,108.367,107.622,108.367,106.814,3930000,0.69,2019-11-11,108.367
2019-11-12,106.751,108.368,108.368,106.232,5220000,-1.49,2019-11-12,106.751
2019-11-13,106.06,106.751,106.786,105.261,5340000,-0.65,2019-11-13,106.06
2019-11-14,106.557,106.052,106.758,105.82,5360000,0.47,2019-11-14,106.557
2019-11-18,106.269,106.566,107.519,106.246,4920000,-0.27,2019-11-18,106.269
2019-11-19,105.864,106.269,106.95,105.367,3610000,-0.38,2019-11-19,105.864
2019-11-21,107.497,105.866,107.497,105.864,5820000,1.54,2019-11-21,107.497
2019-11-22,108.692,107.497,108.692,107.157,4800000,1.11,2019-11-22,108.692
2019-11-25,108.424,108.692,108.915,108.08,4510000,-0.25,2019-11-25,108.424
2019-11-26,107.059,108.424,108.424,106.414,6900000,-1.26,2019-11-26,107.059
2019-11-27,107.708,107.059,107.991,106.312,4420000,0.61,2019-11-27,107.708
2019-11-28,108.29,107.708,108.333,107.148,3670000,0.54,2019-11-28,108.29
2019-11-29,108.233,108.29,108.708,107.759,4190000,-0.05,2019-11-29,108.233
2019-12-02,108.928,108.233,109.279,108.233,4710000,0.64,2019-12-02,108.928
2019-12-03,108.956,108.931,109.198,108.19,5220000,0.03,2019-12-03,108.956
2019-12-04,110.301,108.962,110.301,108.962,4890000,1.23,2019-12-04,110.301
2019-12-05,110.622,110.297,111.073,110.008,4400000,0.29,2019-12-05,110.622
2019-12-06,111.126,110.623,111.43,110.623,4970000,0.46,2019-12-06,111.126
2019-12-09,110.977,111.125,111.453,110.87,4990000,-0.13,2019-12-09,110.977
2019-12-10,110.672,110.973,111.184,110.133,4760000,-0.28,2019-12-10,110.672
2019-12-11,110.964,110.672,111.227,110.53,5150000,0.26,2019-12-11,110.964
2019-12-12,112.2,110.963,112.445,110.963,5680000,1.11,2019-12-12,112.2
2019-12-13,112.565,112.205,112.829,111.78,7710000,0.33,2019-12-13,112.565
